ID,Review
10,"I swore I would never allow myself to devolve into to the bogus authority figures of the sixties who told me things were better in the ""good old days""  the current Australian Prime Minister is a sordid example of just such a mind set.<br /><br />But I switched over to ""A Decade Under the Influence"" because I found watching the much-heralded ""Sneakers"" documentary on the other channel such a dispiriting experience. I found the values expressed by the ""Sneakers"" interviewees too ugly to accept as reasonable. So materialistic! So devoid of any sense of outrage at a society that can countenance killing someone to steal his very ugly shoes! So lacking in any worthwhile purpose that they can report without distaste the exploitation an audience by haranguing them to hold those shoes above their heads to lock in a sponsorship deal for themselves with a company of cobblers was just too much to continue watching.<br /><br />""A Decade Under the Influence"" depicted a completely different response to the fruit of stupidity, corruption and concupiscence in high (and low) places.<br /><br />I have noted the change in film-making that accompanied the exposure of America's disastrous foreign policy debacles in Vietnam and so many less reported places in my www.peterhenderson.com.au website. ""A Decade Under the Influence"" documents the precise moment at which that change took place.<br /><br />Before the seventies, the armed forces were depicted in American films as an invincible fighting force comprised of decent human beings who transmogrified into conquering heroes on the battlefield. After the seventies they are generally portrayed as a dispirited rabble misled by a bunch of bureaucrat clowns in the Pentagon Before the seventies, the FBI agent and the honest cop tended to be depicted as your friend and protector. After the seventies, the FBI agents were all incompetent and the best a cop could aspire to was to ignore their foolishness and his superior's corruption and uphold justice in his own idiosyncratic manner.<br /><br />Before the seventies, the archetypical American ""little guy"", the ""average Joe"", the Jimmy Stewart type would face down the problems encountered and thereby gain some insight into underlying wisdom of his elected leaders and justice of the ""American Way"". After the seventies, Kevin Costner usurps that role, but now he is the voice of one crying out in the wilderness for evil to be exposed, or accepting his lot and making out the best he can.<br /><br />And now those ""old time religion"" mindsets have been stripped of any honesty and righteousness and portrayed (with a certain amount of justification) as sanctimonious bigotry and self-serving hypocrisy.<br /><br />""A Decade Under the Influence"" tells it like it was. ""A Decade Under the Influence"" tells it like it is now. It depicts the redemption of the American film industry from the hands of the artistically, morally and intellectually bankrupt studio moguls. It shows the storming of the Hollywood Bastille by the independent film makers who promised to get a disillusioned and tired audience back into the cinemas. The fact that their failures were numerous, and at times disastrous, merely underlines the greatness of their achievement. An achievement reflected in the adventurous and questioning attitudes of the big box office stars such as Clooney, Daman, Affleck etc and the directors and producers who provide the vehicles for their talent."
11,"Just came out of a sneak preview for this film. It had me laughing every 30 secs. The ending was so funny that tears were rolling down my face and it had me wishing I hadn't bought that large coke. There are definitely some lulls, but, overall, highly entertaining. The movie lets Steve Carell have a chance to shine after stealing the spotlight from both Jim Carrey in ""Bruce Almighty"" and Will Ferrell ""Anchorman: The Legend of Ron Burgendy"" in their movies. Paul Rudd is hilarious as always. I love that he can be so funny in these broad comedies and continues to work in indie dramas (like P.S.). I think that Seth Rogen should be getting more work, because he so freaking talented and engaging. Leslie Mann also had some incredibly funny moments. I highly recommend it for those who just want to laugh like a maniac. However, if you're easily offended, don't see this movie. If you're a rabid feminist, don't see this movie. And, please, not matter what, even if you think you're one of those ""hip"" parents, don't take your kids to this movie. Sure, you should let your teens go see this movie, just don't watch it with them. It would make for some incredibly awkward moments."
12,"First off, I Hate Sci Fi Stuff, And Although This Movie got a little Sci Fi at times, That's Allright, Because At Least It Focused On Andre Toulon. In the last 3, Andre seemed to have kind of been Mentioned, but the Stories Never really focused on him, which made me mad. What also makes me mad is The Amount of 0's it Got on the Voting Chart. Give It a Rest People. If you saw this Movie and Liked it, Please vote for it. Please. What I Loved About this Movie is that It went back to Where it all started. When Andre first learned the Secret to Life. I would Recommend Renting this if you Have seen a Puppet Master Movie before and liked it. But not renting it if this is your First Time viewing one from the PM Collection, Mainly Because you might think all the Puppet Masters are as ""Dull"" as this one."
13,"New Yorkers contemporaneous with this film will recall how reflective of its time it is and how well cast and crew captured America, New York City of that era.<br /><br />Norman Wexler's script delineates the different worlds the various sub groupings live in and Avildsen's direction brings out phenomenal performances all around. Peter Boyle's prodigious talent is on display as never before nor since. Clearly it is the best character portrayal the always likable Dennis Patrick ever accomplished.<br /><br />What I will always remember about JOE is the feeling of having been in a virtual state of shock coming out of the theater. Knowing that what the screen portrayed was seething under the surface in neighborhoods throughout the five boroughs of the City of New York.<br /><br />This film needs to be remembered."
14,"""Blind Spot"" one of my festival favorites. I was totally intrigued by the idea of three strangers searching for a mysterious man who has loved and betrayed each of them in different ways. The cast is great. James Franco is particularly amazing as the broken-hearted boy from Los Angeles. His journal entries, which we hear in voice-over-narration, work well with the visuals and are quite intense. The film has a powerful style. It pushes elements like the road movie and revenge-drama in new directions. It also plays with time and perspective in ways that capture the frightening ambiance of lost love. There is a dreamlike quality to several sequences and the images are saturated with an eerie sense of tension. Strange. Suspenseful. Beautiful to look at. Definitely worth seeing. I really would like to see it again. Periodically I check to see if Blind Spot has been distributed. I can't wait to see the film again in the cinema or on DVD.<br /><br />Davide Pepe 13/08/2005 Bologna - Italy"
15,"I was fortunate enough to see The Last Stop here where I live at the Moving Pictures Film Festival (for those of you that don't know, the Moving Pictures Film Festival is a tour of Canadian made film in Canada). I was told just before the movie started that it was the world premiere and that it was on the verge of getting an American distribution deal which added to my excitement.<br /><br />I'm a big horror movie fan, and yes, I love the Scream trilogy as well. So when I found out that Rose McGowan was doing a Ten Little Indians type of movie I knew that I was in for a treat. Rose McGowan was the biggest name actor/actress at the entire festival.<br /><br />The best way I can describe it without giving away too much of the plot is that it's not quite like Scream. And it certainly is worth seeing. It's set in the middle of a snowstorm (it was filmed in Vancouver, B.C., Canada) at a mountaintop motel, which adds to the suspense. Rose McGowan puts in a great performance as the-girl-next-door(?!) along with the rest of the cast. And as for what happens at the end, well, the only thing I'll say is that you'll never guess the ending.<br /><br />Sadly, it probably won't make it into mainstream North American theatres because the only decent money maker in it is Rose McGowan. But if you get the chance to see it I would recommend you do. And if worse comes to worst, there's always video.<br /><br />I gave it a 9 out of 10."
16,"For a long time it seemed like all the good Canadian actors had headed south of the border and (I guessed) all the second rank ones filled the top slots and that left the dregs for the sex comedies.<br /><br />This film was a real surprise: despite the outlandish plots that are typical of farces, the actors seemed to be trying to put something into their characters and what we, the viewer, got back was almost true suspension of belief. When the extras from the music video attacked the evicting police, you almost believed it was possible.<br /><br />If you are a fan of some of the better sex farces (Canadian or not) you should definitely seek this one out. And the big surprise, this sex farce is also loaded with some very good nudity."
17,House of games has a strong story where obsession and illusion play a big part. A psychologist offers to help a patient with his gambling debts and gets caught at the game.<br /><br />Have you ever felt fascination for something that was both dangerous and wrong? Watch what happens if you pursue this urge and go all the way. Sit on the edge of your chair as tricksters are being tricked and victims turn into perpetrators. You're never sure of who is exactly who in this movie.<br /><br />This is both a quality and a drawback of the script. As the movie ends you feel that the story lacks a bit of consistency. But all this is largely compensated by the excellent psychological development.<br /><br />This is definitely one of the best movies about gambling.
18,"Yes, I'm sentimental & schmaltzy!! But this movie (and it's theme song) remain one of my all time greats!! Robert Downey Jr. does such justice to the role of ""Louis Jeffries"" reincarnated and the storyline (although far-fetched) is romantic & makes one believe in happy endings!!"
19,"This movie is not great, but it is a good and enjoyable one. It feels like an indie film made out of a play script. Morgan Freeman basically plays himself, although the director swears the script was not written for him. And there is the small irony of the actor that goes in a supermarket to do research for a film that he hasn't committed to yet. I mean, he actually made the film in the end and we are watching it :)<br /><br />I found the dialogue a bit too positive for my taste, but refreshing nonetheless. This is a film that inspires the viewer to take a look at their own lives and choose the direction in which to go. A bit too much emphasis on appearance, if you ask me.<br /><br />Bottom line: a nice little film, made in two weeks, with basically two actors and a few extras, dialogue driven, makes Morgan Freeman look good :)"
20,"Considering all the teen films like ""the Breakfast Club"" and ""Pretty In Pink"" that are lionized. It is surprising that this one is so ignored.<br /><br />There is no sex in it, but sex is thought of, including the idea that it may matter what others think about it. The kids do not always get along with their parents, but neither the parents or the kids are seen as always right or wrong, and the parents are not seen as monsters.<br /><br />It deals with hero-worship. How one girl does a dangerous thing, which could have lead to real dustier, before realizing that she was wrong.<br /><br />The movie is kind of ahead of its' time. One kid asks another kid what birth control she uses. She says she is doing nothing to need birth control. She replies (wrongly) ""oral sex""."
21,"Every time the supposed explorers and we , the audience, is primed to set its first sights one of the wonderous new worlds, for some ungodly reason, the filmmakers decided to distract with an ""emergency"" or some false alarm or some bit of artificial dramatic suspense. <br /><br />So instead of calmly enjoying the surface of Io, or standing over the rings of Saturn or concentrating on the magic of flying by a comet or an asteroid, we are distracted into worrying about the wellbeing and survival of the characters. Big let down !!!!<br /><br />The filmmakers seem to be unsure what they want. A documentary of the natural wonders in our solar system, or a suspense thriller in which the viewer cares more about the characters than the subject matter. Come on. <br /><br />Hello. If I wanted suspense and tension I'd watch a real Narrative sci-fi movie. <br /><br />Sure it's a docu-drama. But the characters and their survival here (the risks of such a mission - should be secondary to the subject matter ). Wait. Yes the risks of such a mission are an important part of the subject matter - since essentially this is a film about a space mission , not just about the solar system. But it was overplayed and distracted strongly from the discovery of new worlds we were supposed to be enjoying. <br /><br />Otherwise, the film was remarkable in giving a very realistic feel for the human elements of a space mission , the squabbles, the tensions, the weight of responsibility, the near-fatal mistakes, the sacrifices , etc. Also it would fit very well in the hard-sci-fi subgenre - in fact it would be one of the best , because here the science was almost closely adhered to. <br /><br />But the distractions were awful. <br /><br />Otherwise, I missed showing the effects of being in space for several years on the astronauts AFTER landing on Earth. Also not"
22,"Neatly skipping over everything from the coup in Cuba to his undercover entry into Bolivia, part two of Soderbergh's portrayal of Che Guevara is that of the tragic hero. As with Che  Part One, this rather rambling guerrilla warfare escapade through the colourful mountains of Bolivia is probably destined to disappoint more people than it will satisfy, so why was the film (and particularly Benicio Del Toro's performance) so loudly praised at Cannes?<br /><br />James Rocchi, for instance, called it, a work of art that's, ""not just the story of a revolutionary,"" but, ""a revolution in and of itself."" The Guardian's Peter Bradshaw called it a ""flawed masterpiece."" I return to my original contention for Part One  that the value lies particularly in depiction of a hero figure. And in an age when there is a surfeit of poor hero role-models, could it not be salutary to see a strongly honourable one, even if stripped of some of the less endearing episodes of his life? This is the psychological hero enshrined by the great Scottish essayist, Thomas Carlyle, in his seminal book, Heroes and Hero Worship. Heroes can be real or imaginary (or somewhere in-between). But should genuinely inspire us to higher goals, a higher purpose. Compare this with the unrealistic 'heroes' of standard Western storytelling: where a person undergoes trials and tribulations before obtaining a barely-believable reward  usually everlasting love or material wealth  as if by divine studio intervention. Real heroes have an excess of moral courage  not Lost Ark dare-devilishness or James Bond super-toys. They rise, and empower others to rise, to be the best that they can be. In Part One, Che succeeds. In Part Two, he fails. It is not for want of moral courage but since a) not all good plans can succeed and b) being human, mistakes are inevitable.<br /><br />Guevara's intellectual clarity is flawed when he equates conditions that justify armed struggle with conditions that make that armed struggle able to succeed. It is a serious miscalculation.<br /><br />High in the mountains from La Paz, the colours are breathtaking. There is an air of mise-en-scene authenticity that was occasionally lacking in Che - Part One (The U.S. would not allow Soderbergh to film in Cuba.) Visual treats are heightened by maximising natural light and the extreme flexibility and realism offered with groundbreaking RED cameras. This is a high performance digital cine camera with the quality of 35mm film and the convenience of pure digital. Designed for flexibility and functionality, the package weighs a mere 9 lbs. ""Shooting with RED is like hearing the Beatles for the first time,"" says Soderbergh. ""RED sees the way I see . . . so organic, so beautifully attuned to that most natural of phenomena  light."" If Che had stopped with the successful Cuban revolution it would have enshrouded him with an almost mystical invincibility. That he fails in Bolivia shows not only that he has human limitations but that it is his moral virtues that are remembered, not the political triumph. Critics will say  and with some justification - that his armed struggle inspired much less noble characters to achieve tin-pot dictatorships. His development of guerrilla fighting tactics are not good or bad in themselves (and have since been used for both).<br /><br />But for all its praiseworthiness, the film often seems to lack dramatic and narrative tension. We stumble from one escapade to another, knowing that he will eventually meet his death. I found myself glancing at my watch and thinking it could have been shorter. But the work that has gone into this  interviews with people from all sides and even getting one of Guevara's ex-comrades to coach actors on the minutiae of the Bolivian operations  make the film a commendable achievement. It might not be top-flight entertainment, but it demonstrates integrity in documenting a significant slice of history.<br /><br />There is also another very important point in the Che 'hero' figure here. It's about failure. That if you try your utmost, even if you fail, your effort will not have been in vain because it may give others hope and moral courage. One could cynically call it a 'martyr' complex, and it is found, of course, in many religious figures as well. But Che does not 'sacrifice' himself. He does what he does best, to the best of his not inconsiderate ability, and so provides an example. Success or failure in any particular instance become mere details.<br /><br />With the U.S.'s longstanding and illegal blockade of Cuba (all in the name of 'freedom'), I am tempted to write that Che Parts 1 & 2 are too good to be wasted on the U.S. But that would be to invite a contention that the film has sought so earnestly to avoid. One must hope that many viewers will have the skill to view Che without politics and the bias that inevitably engenders. Whatever its faults, it rehabilitates Soderbergh from the populist nonsense of Oceans 11.<br /><br />But if you haven't heard of Che Guevara or seen Part One, or if you can't get past the phrase 'murderous Marxist' without frothing at the mouth, I might struggle to imagine what you would get from this film. The same can be said for many who have, and can."
23,"If you as I have a very close and long relationship with the world of Tintin....do yourself a favor and watch this beautiful documentary about Hergé and his life creating Tintin. I'ts so brilliant and a very cool production. The whole background story about Hergé and the people and also very much the many different situations he was influenced by, for good and worse is amazing. There is a very fine and obvious connection between the comic books and just this. I will for sure be in my basement digging up the Tintin albums again. Also, the movie itself are very well told and has a great ambient sound to it. I really do hope people will find this as intriguing as I did!"
24,"This movie has recieved horrible ratings from just about everyone who has voted here but i am here to say if you like movies like Dude Wheres my Car and Dumb and Dumber this movie is for you. If your into movies like Citizen Kane and Casablanca id have to sugest you in a different angle. Yet i still love this movie and everything about it even if it is kind of ""kiddy"" this is one of the few movies me and my freinds have been able to keep watching over the years and quote whenever possible. GREAT MOVIE. This movie should the AFIs number 1 because its so friggin' high class. The only problem with this movie is you may have trouble seeing it because it was a made for tv movie on a channel that no longer exists. So i dont know how to get this movie, id like to buy it for dvd but i cant find it anywhere. I still have it taped from when it was first on, you can come over if you want and watch it bute i might be sleeping. this movie rocks and thats basicly all you need to know."
25,"In 2004, I wrote the following statements on an IMDb message board when a user wondered if The Best Years of Our Lives was a forgotten movie: <br /><br />***** To me watching this movie is like opening up a time capsule. I think in many ways ""The Best Years of Our Lives"" is probably one of the more fascinating character studies and it holds up extremely well as a look at life in the US in the mid-1940s after WWII. I believe ""Coming Home"" and ""The Deer Hunter"", both released in 1978, were the most recent films that were closest in capturing the numerous issues of military men returning from war that were brought up in ""The Best Years of Our Lives"".<br /><br />What really impressed me was watching the movie in its entirety when I was in college around 1980-81 and many if not all of the college students applauded at the end of the movie.<br /><br />This movie still packs a wallop and I'm very happy to read in other posts other users feeling of a movie that will definitely stand the test of time. *****<br /><br />I'm very happy to see the movie ranked near the top 100 movies on IMDb and AFI. Also, though it was in competition with what eventually became a Christmas classic, It's a Wonderful Life, arguably, The Best Years of Our Lives' Oscar wins, including Best Picture, were very well-deserved. <br /><br />I've just seen the film again in 2005 and after almost 60 years, The Best Years of Our Lives is still a powerful, beautifully acted and well-crafted motion picture."
26,"I have to tell you I've been a fan of Star Trek TNG since i was a kid.<br /><br />Well, sometime ago i gave a friend of mine some DS9 episodes and i asked him<br /><br />""hey man, what are you watching lately because I'm done watching all TNG episodes"" He said. ""Well, i got these episodes of Farscape"". I said: ""Ok, let me try it"" I was pretty sure at that time that i wont like it because i was just finised watching TNG and found it great.""<br /><br />I had 3 episodes, viewed those but the show didn't impressed me very much, i found it childish initially and i thought its just another TV show, nice adventures but regular. Music was a little bit different, neat special effects though and i had the vague impression that the actors didn't fully get into the characters skin.<br /><br />I watched another 3 episodes thinking that 3 eps were not enough to decide i like or not since. Then the show started to get me, i got a good grasp of the action and wanted to see what happened next to the poor Crichton....the rest is history. <br /><br />I think i mostly like the freedom of the characters in the context of the action unlike Star Trek where everybody slept when they were supposed to do and way too much high tech bullshit. <br /><br />The show got better with each episode, very interesting story line.....what can i say, this movie its like poetry. <br /><br />I highly recommend it!!!"
27,"I Enjoyed Watching This Well Acted Movie Very Much!It Was Well Acted,Particularly By Actress Helen Hunt And Actors Steven Weber And Jeff Fahey.It Was A Very Interesting Movie,Filled With Drama And Suspense,From The Beginning To The Very End.I Reccomend That Everyone Take The Time To Watch This Made For Television Movie,It Is Excellent And Has Great Acting!!"
28,"We saw La Spettatrice at the Syracuse International Film & Video Festival & liked it.<br /><br />This film delved into the fear we all have. Fear of rejection, fear of intimacy and most importantly fear of our own inadequacies.<br /><br />The three lead actors, Barbora Bobulova as Valeria, Brigitte Catillon as Flavia, Andrea Renzi as Massimo are match well to their roles and are excellent. It was a joy to witness the dynamic between the three of them as it seemed real.<br /><br />I believe Barbora Bobulova is a stand out. I hope we see much more of her in the coming years.<br /><br />This film doesn't take the easy way out. Thumbs up to the Italian team who put this film together. Highly recommended."
29,"This movie was fun, if all over the board.<br /><br />It essentially follows the comedic romp of two grave-robbers in 19th century England, who move from conventional body snatching to trafficking in vampires, zombies and dead Roswell aliens. (I have no idea what the Roswell alien was doing in there, and neither did the producers, I think.) <br /><br />But was it funny? You bet. Even Ron Perlman, who is often the kiss of Direct to DVD Death was pretty good in this one as a priest who turns out to be the ringleader of a rival gang of body-snatchers.<br /><br />A real joy to watch this hilarious little film, and a good example of what you can do when you don't have larger than life egos on either side of the camera."
30,"This is a really cool movie! I remember first seeing it when I was really young and I used to watch it all the time like once a week...Shadow was my favorite character in the movie. Homeward Bound is really funny and its really cool how they train the animals to do all those things. Parts of the movie are sad though (such as when Sassy, the cat, falls down the waterfall, and when Shadow falls in the hole at the end.) I have seen the second Homeward Bound but I gotta say its not as good as the first. Shadow is the smart one, Sassy is, well, Sassy, and Chance is the funny idiot. I recommend this movie to anyone who likes comedies, or talking animals. This is one of my top ten favorite movies!"
31,"I believe anyone who enjoyed Eisentein's Ivan the Terrible movies would enjoy this well crafted movie. This movie played out like ""Lord of the Ring: Return of the King"", but without the special effect but as good and better drama.<br /><br />We have the German, who dressed like KKK, conquered Novgorod of Russia. The Russian summoned Nevsky to lead them to fight the German to save Russia. Nikolai Cherkasov, who played Ivan in the Ivan the Terrible films, was charismatic as Nevsky. The first 10 min how he handled the passing by Mongol was captivating.<br /><br />Many of the scenes were beautiful even in black and white. The anticipation of War did not require any dialogue such as ""how many enemy we will be killing"", etc. Except for a few speeches, the film can basically be played out as a silent film. The fighting scene can hold up to those of the Civil War fighting scene of The Birth of a Nation.<br /><br />Another strength of the movie is the great musical score, by Sergei Prokofiev. The music gave an epic feel to the movie in those scenes without dialogue."
32,"When I saw LAUREN BACALL do CACTUS FLOWER on Broadway, I never dreamed that one day I would see an actress like INGRID BERGMAN playing the Bacall role on screen. But here Ingrid really lets her hair down for some good comedy moments as the dental nurse pretending to be WALTER MATTHAU's wife so he can go on with the fib he's told GOLDIE HAWN.<br /><br />It's a story played for laughs from beginning to end, good-humored stuff that never runs out of dry humor and wit throughout its running time. There are plenty of one-liners or gags that are way above the usual situation comedy stuff one hears on TV--the lines ring true because they blend so well with the characters and their motives.<br /><br />As the daffy girl who contemplates (in the beginning) committing suicide over her unhappy affair with Matthau, GOLDIE HAWN (fresh from her days as a star on TV's ""Laugh In"") does a dumb blonde role to perfection. Easy to see why she won that Supporting Actress Oscar.<br /><br />Ingrid is surprisingly fetching in a rare comedy role, although there are times when she seems just a bit too matronly for the part. At any rate, she's a surprising choice to play the nurse who puts on a freeze act at the office but is considerably warmer off duty.<br /><br />As Goldie's next door neighbor, Igor, Rick Lenz acquits himself admirably, and makes a suitable match for her in that final scene.<br /><br />Matthau plays the kind of character that became his stock in trade in all those Neil Simon roles he had--a lovable cad who gets caught up in his own messes when he tells lie after lie.<br /><br />It's the kind of rib-tickling comedy that'll have you laughing out loud at some of the amusing lines that Abe Burrows and I.A.L. Diamond have managed to scrap together, based on a French farce."
33,"What if Marylin Monroe, Albert Einstein, Joe Dimaggio and Senator McCarthy were to come together in a mind-bending evening of relativity?<br /><br />This delightful roman à clef never uses the actual names of the characters it so thinly veils and scathingly exposes not only for the individuals they must have been, but also for what they came to represent over time. If you are confused by allegory, or if you like your movies served up predigested and mushy, you won't like this film. It is a demanding opus that rewards on many levels the viewer with the intelligence to appreciate it. <br /><br />Dropping, for the time being, the rigorous avoidance of using the real names of the characters, we see Einstein, about to deliver a pacifist speech to a United Nations hell-bent for nukes, being visited by Marylin Monroe, after filming the notorious Seven Year Itch scene that some say led to the end of her marriage with Joe Dimaggio. They have a lovely interplay in which Einstein stumbles with suitable professorial clumsiness around the innocence of perhaps the greatest sex symbol of modern times. <br /><br />Enter Senator McCarthy who thinks Einstein is a Red. He is determined to extract Einstein's assurance that he will support the activities of the House Unamerican Activities Committee while delivering the ultimate weapon in the name of peace. Add Joe, a surprisingly fragile and vulnerable person perhaps not perfectly cast as Gary Busey, who hates Marylin's exhibitionism and believes Einstein has become her lover, even though Marylin only wants to show Einstein that she understands the Special Theory of Relativity. <br /><br />But there's more. <br /><br />Just like each of us, these characters have their deepest fears, which they reveal one by one in haunting flashbacks. It is these weaknesses, ultimately, that lend humanity to figures we cannot help but see almost exclusively in the abstract today. Finally, we see the shocking terror of Einstein's vision, and the statement of the movie becomes clear. It is a powerful and memorable moment.<br /><br />Insignificance is one of my top five movies of all time. It is utterly amazing."
34,"It's a little disconcerting to have a character named Gig Young in a movie...played by Gig Young. But this film is where Gig got his name and also a nice career boost after playing small parts under another name.<br /><br />I'm going to go against the majority of the other comments and state that I really enjoyed this film, mainly because of the vibrant performance of Barbara Stanwyck as Fiona. She was funny, angry, vulnerable, caring, and feisty as the oldest of three daughters whose mother died on the Lusitania, and whose father was later killed during Woar War I. <br /><br />As the ""man"" of the house, Fiona has stood steadfast for years against settling her father's will which would therefore allow a Donald Trump type named Charles Barclay to get the family home. But Fiona's keeping a secret as to why she hates Barclay so much. Geraldine Fitzgerald is the middle, flirty sister, who is married to an Englishman but craves her youngest sister's boyfriend (Gig Young).<br /><br />If you're a Stanwyck fan, this is a no miss."
35,"This interesting lost film (written by Terence Malick) stars Stacy Keach and Frederic Forrest as two wacky, Southern brothers on a quest to open a seafood restaurant. Margot Kidder was never prettier and Forrest should have been nominated. Originally titled The Dion Brothers, this light-hearted flick with a violent ending is a pure joy! <br /><br />Where is this film? I've been searching for it for 30 years. Keach was still great back then and I'm surprised it doesn't have more of a cult following (maybe it does). These guys are a crack-up with more ambition than brains, but totally lovable dudes!. A 7 out of 10. If you can dig it up somewhere, you'll have fun."
36,Never when I was a child did I love any movie more then this one. I would love to own it. I watched it every Sunday they played it on the Family Film Festival. It is an enjoyable film suitable for the whole family and the songs are wonderful.
